Epoch,sequential,RelatedTo,Antonym,NotHasProperty,MannerOf,IsA,Synonym,SimilarTo,HasPrerequisite,HasSubevent,MotivatedByGoal,Causes,DistinctFrom,Entails,HasLastSubevent,CapableOf,HasContext,HasFirstSubevent,ReceivesAction,UsedFor,HasProperty,DerivedFrom,CausesDesire,AtLocation,PartOf,FormOf,Desires
1,0.9992084503173828,0.828443169593811,1.014796257019043,1.0162721872329712,0.893947422504425,1.027735948562622,1.0085049867630005,0.9644193649291992,1.0023832321166992,1.071136713027954,0.9801309108734131,1.0545536279678345,0.891152024269104,0.9853708148002625,1.0863986015319824,0.912761926651001,0.91376131772995,0.9144786596298218,0.9834744930267334,0.9916192293167114,1.0251359939575195,1.1048450469970703,1.0261150598526,1.0977352857589722,0.7661630511283875,1.0652663707733154,1.0448652505874634
2,0.855161190032959,0.784144937992096,0.9605335593223572,0.9619306325912476,0.8461467027664185,0.9727811217308044,0.9545785784721375,0.9128499627113342,0.9487841129302979,1.0138614177703857,0.9277219772338867,0.9981650710105896,0.8435006141662598,0.9326812028884888,1.0283071994781494,0.8639551401138306,0.8649011254310608,0.8655799627304077,0.9308863878250122,0.9385958313941956,0.9703203439712524,1.045767068862915,0.9712471961975098,1.0390375852584839,0.7251948714256287,1.0083047151565552,0.9889944791793823
3,0.7364404797554016,0.7320630550384521,0.8967363238334656,0.898040771484375,0.7899467945098877,0.908170223236084,0.8911767601966858,0.852219820022583,0.8857672214508057,0.9465224742889404,0.8661041259765625,0.9318683743476868,0.7874764800071716,0.870733916759491,0.9600083231925964,0.8065727353096008,0.8074554800987244,0.8080892562866211,0.8690581321716309,0.8762556910514832,0.9058730006217957,0.9763085246086121,0.9067383408546448,0.9700261950492859,0.6770283579826355,0.9413344264030457,0.9233067035675049
4,0.6895835399627686,0.6897316575050354,0.8448829054832458,0.8461116552352905,0.7442687153816223,0.8556557893753052,0.839644730091095,0.8029406666755676,0.83454829454422,0.8917902708053589,0.8160220980644226,0.8779832720756531,0.741940975189209,0.8203840255737305,0.9044964909553528,0.7599329352378845,0.7607647776603699,0.7613620162010193,0.8188050985336304,0.82558673620224,0.853491485118866,0.9198539853096008,0.8543069362640381,0.9139347076416016,0.6378796696662903,0.8869023323059082,0.8699168562889099
5,0.6449974775314331,0.6558303236961365,0.8033555746078491,0.8045240640640259,0.7076866626739502,0.8135988116264343,0.7983746528625488,0.7634747624397278,0.79352867603302,0.8479570150375366,0.7759131789207458,0.8348281383514404,0.7054733037948608,0.7800605893135071,0.8600385189056396,0.7225810289382935,0.7233720421791077,0.7239392995834351,0.7785595655441284,0.7850079536437988,0.8115409016609192,0.8746415376663208,0.8123161196708679,0.8690128922462463,0.6065266132354736,0.8433093428611755,0.8271592855453491
6,0.6263891458511353,0.6293355226516724,0.7709006667137146,0.7720226645469666,0.6790968179702759,0.7807300090789795,0.766121506690979,0.7326310873031616,0.7614707946777344,0.8137001395225525,0.7445670366287231,0.8011021614074707,0.6769729256629944,0.7485467791557312,0.825294017791748,0.6933891773223877,0.6941492557525635,0.6946929097175598,0.747106671333313,0.7532944083213806,0.7787551283836365,0.8393064737319946,0.7794992327690125,0.833905816078186,0.5820237398147583,0.8092407584190369,0.793742835521698
7,0.6201756000518799,0.609470009803772,0.746566116809845,0.7476533055305481,0.6576608419418335,0.7560858726501465,0.7419383525848389,0.7095047831535339,0.7374345660209656,0.7880151271820068,0.7210640907287598,0.7758150100708008,0.655603289604187,0.7249183654785156,0.7992434501647949,0.6715015172958374,0.672237753868103,0.6727644801139832,0.7235234379768372,0.7295160889625549,0.7541728615760803,0.8128126859664917,0.7548936605453491,0.8075830340385437,0.5636510848999023,0.7836962938308716,0.7686875462532043
8,0.6224231123924255,0.5956645011901855,0.7296552658081055,0.7307177186012268,0.6427632570266724,0.7389596104621887,0.7251323461532593,0.693433403968811,0.7207305431365967,0.7701653242111206,0.7047308683395386,0.758241593837738,0.6407523155212402,0.7084977626800537,0.7811393737792969,0.6562907695770264,0.6570104360580444,0.6575254201889038,0.707133948802948,0.7129917144775391,0.7370896935462952,0.7944009304046631,0.7377939820289612,0.789290189743042,0.550883948802948,0.7659438252449036,0.7512755393981934
9,0.6193378567695618,0.5875306725502014,0.7196918725967407,0.7207396626472473,0.6339861750602722,0.7288690209388733,0.715230405330658,0.6839643716812134,0.7108889222145081,0.7596486210823059,0.6951074004173279,0.7478876709938049,0.6320027112960815,0.6988230347633362,0.7704727649688721,0.6473290324211121,0.6480387449264526,0.6485467553138733,0.6974779963493347,0.703255832195282,0.7270246744155884,0.7835533022880554,0.7277193665504456,0.7785123586654663,0.543361485004425,0.7554847598075867,0.741016685962677
10,0.6204076409339905,0.5848419666290283,0.7163980603218079,0.7174411416053772,0.6310845613479614,0.725533127784729,0.7119567394256592,0.6808338165283203,0.7076354622840881,0.7561721205711365,0.6919260025024414,0.7444650530815125,0.6291102766990662,0.6956249475479126,0.7669468522071838,0.6443663835525513,0.645072877407074,0.6455785632133484,0.6942858099937439,0.7000373005867004,0.7236971259117126,0.7799673080444336,0.7243890166282654,0.774949312210083,0.5408746004104614,0.7520270943641663,0.7376257181167603
